,yhat
2025-09-10 01:23:40,2942.1733642570307
2025-09-10 01:23:50,2790.6022206595867
2025-09-10 01:24:00,2621.8737881288644
2025-09-10 01:24:10,2492.5212349930125
2025-09-10 01:24:20,2026.9296895114333
2025-09-10 01:24:30,2013.3712937244447
2025-09-10 01:24:40,1877.2425091499192
2025-09-10 01:24:50,2066.9147652354495
2025-09-10 01:25:00,1932.750697068604
2025-09-10 01:25:10,2010.754576180217
2025-09-10 01:25:20,2110.2511613184324
2025-09-10 01:25:30,2011.9049623858687
2025-09-10 01:25:40,2029.6246713113667
2025-09-10 01:25:50,2000.4439009348077
2025-09-10 01:26:00,2221.9449270592963
2025-09-10 01:26:10,2332.923542779921
2025-09-10 01:26:20,2693.0273011809195
2025-09-10 01:26:30,2764.4303281356797
2025-09-10 01:26:40,2419.6193220925447
2025-09-10 01:26:50,2554.7279736963364
2025-09-10 01:27:00,2572.926161759133
2025-09-10 01:27:10,2769.0683725751487
2025-09-10 01:27:20,2331.7187079975183
2025-09-10 01:27:30,2257.4621112390555
2025-09-10 01:27:40,2304.222575198179
2025-09-10 01:27:50,2329.093715802347
2025-09-10 01:28:00,2242.1881359588065
2025-09-10 01:28:10,2319.7341421390565
2025-09-10 01:28:20,2516.802175767292
2025-09-10 01:28:30,2452.2518315226425
2025-09-10 01:28:40,2403.422855457355
2025-09-10 01:28:50,2188.3005135728117
2025-09-10 01:29:00,2199.909680141362
2025-09-10 01:29:10,2218.784501883873
2025-09-10 01:29:20,2344.61423153155
2025-09-10 01:29:30,2212.60543163183
2025-09-10 01:29:40,2208.96684306977
2025-09-10 01:29:50,2252.479250786412
2025-09-10 01:30:00,2419.8329750776734
2025-09-10 01:30:10,2238.996258087653
2025-09-10 01:30:20,2118.2880561001207
2025-09-10 01:30:30,2117.698211912125
2025-09-10 01:30:40,2472.822902003105
2025-09-10 01:30:50,1942.34167601752
2025-09-10 01:31:00,2166.8150828282446
2025-09-10 01:31:10,1961.0215909866488
2025-09-10 01:31:20,2577.9523281945394
2025-09-10 01:31:30,2076.8195017953585
2025-09-10 01:31:40,2064.1840331012754
2025-09-10 01:31:50,2276.6998546407194
2025-09-10 01:32:00,2339.3234368623735
2025-09-10 01:32:10,2437.619509213974
2025-09-10 01:32:20,2365.8241401968608
2025-09-10 01:32:30,3112.722518370133
2025-09-10 01:32:40,2669.8049829788897
2025-09-10 01:32:50,2597.1997717971976
2025-09-10 01:33:00,2439.974934377754
2025-09-10 01:33:10,2569.5422907116567
2025-09-10 01:33:20,2437.9153539938097
2025-09-10 01:33:30,2384.978662526574
