,yhat
2025-09-10 01:33:10,2518.6493456794474
2025-09-10 01:33:20,2413.9788419498745
2025-09-10 01:33:30,2435.9538648323264
2025-09-10 01:33:40,2324.9221702683594
2025-09-10 01:33:50,2352.680093909351
2025-09-10 01:34:00,2280.393834427602
2025-09-10 01:34:10,2378.7031473227808
2025-09-10 01:34:20,2839.600337778414
2025-09-10 01:34:30,3599.473497450562
2025-09-10 01:34:40,2803.1680629996126
2025-09-10 01:34:50,2954.101772797505
2025-09-10 01:35:00,3069.7597879683035
2025-09-10 01:35:10,2784.0844904964306
2025-09-10 01:35:20,2521.540796058717
2025-09-10 01:35:30,2728.568643214447
2025-09-10 01:35:40,2305.838597765178
2025-09-10 01:35:50,2390.2689488398605
2025-09-10 01:36:00,2354.414964136913
2025-09-10 01:36:10,2711.7982310146813
2025-09-10 01:36:20,2274.610933669062
2025-09-10 01:36:30,2152.013437588015
2025-09-10 01:36:40,2826.877956109626
2025-09-10 01:36:50,2631.415910470976
2025-09-10 01:37:00,2360.7761549713073
2025-09-10 01:37:10,2400.0998801293786
2025-09-10 01:37:20,2663.8001547187996
2025-09-10 01:37:30,2440.0018953633044
2025-09-10 01:37:40,2376.968277095219
2025-09-10 01:37:50,2286.1767351861417
2025-09-10 01:38:00,2343.4274526956874
2025-09-10 01:38:10,2475.2775899903977
2025-09-10 01:38:20,2499.565773176266
2025-09-10 01:38:30,2514.6013151484694
2025-09-10 01:38:40,2684.618597449544
2025-09-10 01:38:50,2541.780948713607
2025-09-10 01:39:00,2491.46971211431
2025-09-10 01:39:10,2508.2401243140753
2025-09-10 01:39:20,2748.808795869337
2025-09-10 01:39:30,2670.1613455531938
2025-09-10 01:39:40,2367.137345805701
2025-09-10 01:39:50,2525.0105365138415
2025-09-10 01:40:00,2803.7463530754662
2025-09-10 01:40:10,2327.2353305717756
2025-09-10 01:40:20,2722.207452380053
2025-09-10 01:40:30,2642.9817119880563
2025-09-10 01:40:40,2472.964429686982
2025-09-10 01:40:50,2313.3563687512797
2025-09-10 01:41:00,2565.490841823621
2025-09-10 01:41:10,2375.811696943511
2025-09-10 01:41:20,2557.394780761665
2025-09-10 01:41:30,2381.5945977020506
2025-09-10 01:41:40,2313.9346588271337
2025-09-10 01:41:50,2242.804979497092
2025-09-10 01:42:00,2327.2353305717756
2025-09-10 01:42:10,2707.7502004837033
2025-09-10 01:42:20,2383.3294679296127
2025-09-10 01:42:30,2073.365987271872
2025-09-10 01:42:40,1928.2151782325195
2025-09-10 01:42:50,2154.326597891431
2025-09-10 01:43:00,2531.3717273482353
2025-09-10 01:43:10,2293.11621609639
2025-09-10 01:43:20,2388.534078612299
2025-09-10 01:43:30,2220.82995661464
2025-09-10 01:43:40,2386.799208384737
2025-09-10 01:43:50,2600.1882463748602
2025-09-10 01:44:00,3335.773222861141
2025-09-10 01:44:10,3119.492734491747
2025-09-10 01:44:20,4375.538779246622
2025-09-10 01:44:30,2859.840490433304
2025-09-10 01:44:40,2929.2352995357833
2025-09-10 01:44:50,2725.6771928351773
2025-09-10 01:45:00,3047.784765085852
2025-09-10 01:45:10,3072.6512383475733
2025-09-10 01:45:20,3877.631023936333
